iter	RMSE
0	3.62357877
1	3.227806022
2	3.052234976
3	2.976855954
4	2.903436898
5	2.885163616
6	2.86082811
7	2.853805435
8	2.845325092
9	2.839753653
10	2.83429918
11	2.818951479
12	2.814813642
13	2.812992909
14	2.809066573
15	2.806037452
16	2.804396883
17	2.803093994
18	2.801763079
19	2.801267427
20	2.798913886
21	2.796776794
22	2.794469088
23	2.793011903
24	2.792806386
25	2.791969472
26	2.791308219
27	2.790209361
28	2.789599314
29	2.788372294
30	2.787920138
31	2.785056368
32	2.784111799
33	2.782215324
34	2.78095597
35	2.780772789
36	2.779861328
37	2.77881257
38	2.778746319
39	2.778632554
40	2.778102865
41	2.778044621
42	2.777322241
43	2.777143464
44	2.777098334
45	2.777013953
46	2.776544915
47	2.775694151
48	2.774356051
49	2.774196535
50	2.773807
51	2.773466325
52	2.773397351
53	2.773344959
54	2.773271038
55	2.773024385
56	2.772373323
57	2.772313339
58	2.770609264
59	2.770548375
60	2.770486474
61	2.770379412
62	2.770362946
63	2.770195147
64	2.76681585
65	2.76659057
66	2.766469231
67	2.766434856
68	2.765388465
69	2.765384972
70	2.765285153
71	2.765229967
72	2.765222026
73	2.765193174
74	2.765075641
75	2.764706938
76	2.764701325
77	2.764658098
78	2.764607964
79	2.764472431
80	2.763894154
81	2.763887897
82	2.76387465
83	2.763817759
84	2.763726168
85	2.763691457
86	2.763661366
87	2.763652569
88	2.763649201
89	2.762739248
90	2.76273022
91	2.762665647
92	2.762621592
93	2.762517208
94	2.762483348
95	2.762393014
96	2.762390045
97	2.762304915
98	2.762152174
99	2.762052825
