iter	Passed	Remaining
0	34	3434
1	65	3190
2	94	3070
3	125	3014
4	155	2960
5	187	2936
6	216	2873
7	245	2827
8	275	2790
9	305	2750
10	335	2710
11	364	2671
12	394	2642
13	425	2614
14	455	2578
15	484	2543
16	514	2510
17	544	2482
18	574	2450
19	604	2419
20	634	2385
21	664	2357
22	699	2342
23	729	2311
24	760	2281
25	791	2251
26	822	2224
27	852	2191
28	882	2159
29	913	2132
30	947	2108
31	978	2079
32	1008	2048
33	1039	2018
34	1071	1989
35	1101	1957
36	1130	1925
37	1160	1892
38	1190	1862
39	1220	1830
40	1251	1800
41	1281	1770
42	1310	1737
43	1340	1706
44	1370	1675
45	1402	1646
46	1437	1621
47	1467	1589
48	1498	1559
49	1531	1531
50	1561	1500
51	1592	1470
52	1624	1440
53	1655	1410
54	1685	1379
55	1716	1348
56	1745	1316
57	1775	1285
58	1805	1254
59	1835	1223
60	1866	1193
61	1896	1162
62	1925	1130
63	1955	1099
64	1984	1068
65	2014	1037
66	2044	1007
67	2074	976
68	2103	945
69	2133	914
70	2163	883
71	2193	852
72	2224	822
73	2253	791
74	2282	760
75	2311	729
76	2341	699
77	2370	668
78	2401	638
79	2431	607
80	2462	577
81	2491	546
82	2523	516
83	2552	486
84	2582	455
85	2612	425
86	2643	394
87	2672	364
88	2702	334
89	2733	303
90	2763	273
91	2795	243
92	2825	212
93	2855	182
94	2885	151
95	2914	121
96	2942	91
97	2971	60
98	3001	30
99	3030	0
