iter	Passed	Remaining
0	58	58870
1	116	58007
2	169	56467
3	235	58760
4	345	68812
5	393	65116
6	422	59901
7	459	56982
8	493	54331
9	523	51811
10	553	49751
11	582	47978
12	611	46417
13	640	45118
14	675	44342
15	705	43383
16	735	42539
17	765	41785
18	796	41115
19	826	40474
20	859	40063
21	889	39554
22	919	39073
23	950	38645
24	980	38253
25	1011	37878
26	1040	37492
27	1069	37134
28	1103	36957
29	1134	36670
30	1165	36418
31	1202	36390
32	1237	36261
33	1269	36058
34	1302	35901
35	1332	35669
36	1363	35479
37	1393	35279
38	1422	35058
39	1453	34872
40	1486	34766
41	1515	34571
42	1545	34391
43	1573	34196
44	1602	34010
45	1632	33847
46	1661	33692
47	1691	33547
48	1720	33395
49	1750	33262
50	1787	33261
51	1825	33286
52	1858	33210
53	1890	33120
54	1921	33016
55	1953	32937
56	1986	32862
57	2018	32789
58	2052	32731
59	2086	32682
60	2116	32579
61	2146	32473
62	2176	32374
63	2206	32263
64	2236	32167
65	2266	32077
66	2295	31959
67	2324	31858
68	2353	31761
69	2383	31663
70	2411	31548
71	2440	31449
72	2471	31384
73	2501	31296
74	2530	31203
75	2558	31110
76	2587	31020
77	2616	30926
78	2645	30842
79	2675	30762
80	2704	30683
81	2737	30645
82	2779	30710
83	2816	30709
84	2853	30719
85	2904	30873
86	2967	31145
87	3044	31554
88	3079	31524
89	3112	31474
90	3143	31401
91	3174	31326
92	3207	31286
93	3243	31261
94	3276	31217
95	3309	31160
96	3340	31096
97	3372	31037
98	3408	31016
99	3442	30984
100	3480	30977
101	3512	30922
102	3546	30882
103	3578	30825
104	3609	30769
105	3640	30707
106	3672	30650
107	3705	30601
108	3736	30546
109	3768	30488
110	3805	30475
111	3846	30493
112	3887	30516
113	3920	30467
114	3951	30408
115	3983	30360
116	4019	30332
117	4049	30266
118	4085	30246
119	4117	30194
120	4149	30142
121	4181	30089
122	4212	30035
123	4243	29979
124	4274	29921
125	4305	29862
126	4335	29801
127	4366	29748
128	4396	29686
129	4427	29628
130	4461	29595
131	4492	29541
132	4525	29502
133	4556	29448
134	4586	29389
135	4616	29329
136	4646	29269
137	4677	29219
138	4708	29167
139	4742	29132
140	4776	29099
141	4808	29052
142	4841	29013
143	4877	28995
144	4928	29059
145	4983	29152
146	5042	29258
147	5087	29288
148	5119	29237
149	5149	29179
150	5179	29124
151	5210	29067
152	5241	29014
153	5270	28954
154	5299	28892
155	5328	28828
156	5358	28772
157	5387	28710
158	5417	28654
159	5447	28601
160	5477	28545
161	5507	28489
162	5536	28431
163	5566	28375
164	5596	28320
165	5633	28304
166	5673	28301
167	5708	28268
168	5739	28223
169	5772	28181
170	5801	28126
171	5833	28082
172	5864	28034
173	5894	27981
174	5924	27929
175	5954	27877
176	5983	27821
177	6014	27773
178	6043	27718
179	6076	27683
180	6112	27658
181	6146	27627
182	6179	27589
183	6214	27557
184	6244	27509
185	6274	27459
186	6304	27409
187	6334	27360
188	6365	27314
189	6395	27266
190	6424	27212
191	6455	27166
192	6485	27118
193	6522	27099
194	6554	27060
195	6584	27008
196	6614	26963
197	6645	26918
198	6675	26870
199	6707	26828
200	6737	26782
201	6767	26733
202	6795	26680
203	6825	26630
204	6854	26580
205	6884	26533
206	6912	26481
207	6941	26431
208	6970	26380
209	6998	26329
210	7027	26278
211	7057	26232
212	7086	26182
213	7115	26134
214	7144	26085
215	7173	26036
216	7202	25989
217	7231	25941
218	7261	25894
219	7289	25844
220	7319	25799
221	7349	25756
222	7378	25709
223	7407	25662
224	7438	25621
225	7467	25572
226	7496	25529
227	7525	25480
228	7554	25434
229	7584	25391
230	7614	25347
231	7644	25304
232	7679	25280
233	7713	25251
234	7743	25208
235	7774	25168
236	7804	25127
237	7836	25088
238	7866	25049
239	7897	25007
240	7925	24960
241	7963	24943
242	8005	24937
243	8054	24956
244	8096	24949
245	8128	24914
246	8158	24870
247	8188	24829
248	8218	24788
249	8249	24747
250	8279	24706
251	8310	24666
252	8338	24620
253	8368	24578
254	8397	24533
255	8427	24492
256	8456	24447
257	8485	24402
258	8513	24357
259	8543	24315
260	8572	24272
261	8601	24227
262	8629	24183
263	8658	24138
264	8688	24099
265	8718	24058
266	8747	24013
267	8775	23969
268	8804	23926
269	8833	23883
270	8862	23840
271	8891	23797
272	8920	23756
273	8949	23712
274	8978	23669
275	9007	23627
276	9036	23585
277	9066	23547
278	9097	23509
279	9128	23472
280	9159	23435
281	9189	23397
282	9220	23360
283	9250	23321
284	9279	23279
285	9308	23239
286	9338	23199
287	9370	23167
288	9410	23152
289	9453	23145
290	9490	23123
291	9530	23107
292	9561	23072
293	9591	23033
294	9621	22994
295	9651	22955
296	9682	22918
297	9712	22879
298	9743	22843
299	9773	22805
300	9804	22768
301	9834	22729
302	9864	22691
303	9894	22653
304	9923	22613
305	9954	22577
306	9992	22557
307	10025	22525
308	10056	22488
309	10086	22450
310	10115	22410
311	10145	22371
312	10178	22339
313	10208	22302
314	10237	22262
315	10267	22223
316	10296	22185
317	10326	22147
318	10355	22107
319	10385	22069
320	10427	22056
321	10467	22040
322	10510	22029
323	10545	22002
324	10578	21970
325	10615	21947
326	10654	21927
327	10689	21900
328	10727	21878
329	10762	21850
330	10794	21816
331	10830	21790
332	10865	21763
333	10898	21731
334	10934	21705
335	10970	21678
336	11005	21651
337	11045	21633
338	11083	21611
339	11126	21599
340	11163	21573
341	11198	21546
342	11235	21520
343	11271	21494
344	11305	21464
345	11338	21430
346	11373	21403
347	11412	21382
348	11450	21358
349	11483	21325
350	11519	21299
351	11553	21269
352	11590	21243
353	11625	21214
354	11660	21186
355	11696	21158
356	11731	21129
357	11766	21100
358	11800	21069
359	11834	21039
360	11868	21008
361	11902	20977
362	11939	20950
363	11970	20915
364	12004	20884
365	12038	20853
366	12074	20825
367	12108	20795
368	12142	20764
369	12175	20731
370	12210	20701
371	12243	20668
372	12275	20635
373	12311	20607
374	12342	20570
375	12375	20537
376	12408	20504
377	12442	20473
378	12473	20438
379	12507	20406
380	12539	20373
381	12576	20346
382	12609	20312
383	12641	20279
384	12675	20248
385	12712	20221
386	12748	20193
387	12784	20165
388	12817	20132
389	12850	20099
390	12879	20060
391	12909	20023
392	12939	19985
393	12969	19947
394	12999	19910
395	13030	19874
396	13060	19837
397	13090	19799
398	13120	19762
399	13149	19724
400	13178	19685
401	13206	19646
402	13235	19607
403	13264	19568
404	13295	19532
405	13323	19493
406	13352	19455
407	13382	19417
408	13410	19378
409	13440	19340
410	13469	19303
411	13499	19265
412	13529	19229
413	13557	19189
414	13585	19151
415	13614	19112
416	13643	19074
417	13673	19038
418	13702	18999
419	13730	18960
420	13760	18924
421	13788	18885
422	13818	18848
423	13847	18811
424	13876	18773
425	13904	18735
426	13934	18698
427	13963	18661
428	13993	18624
429	14022	18587
430	14050	18549
431	14078	18510
432	14107	18473
433	14135	18434
434	14163	18396
435	14192	18359
436	14221	18321
437	14250	18284
438	14279	18248
439	14308	18210
440	14335	18171
441	14364	18134
442	14394	18098
443	14423	18061
444	14452	18025
445	14480	17987
446	14509	17949
447	14537	17912
448	14565	17874
449	14594	17837
450	14623	17800
451	14652	17763
452	14681	17727
453	14710	17692
454	14739	17654
455	14768	17619
456	14797	17582
457	14827	17546
458	14855	17509
459	14884	17472
460	14913	17437
461	14942	17400
462	14971	17364
463	15001	17329
464	15031	17294
465	15059	17257
466	15088	17221
467	15117	17184
468	15146	17148
469	15175	17112
470	15203	17075
471	15232	17039
472	15261	17003
473	15291	16968
474	15320	16932
475	15349	16896
476	15377	16860
477	15409	16827
478	15439	16793
479	15470	16759
480	15500	16725
481	15530	16690
482	15560	16655
483	15590	16620
484	15619	16585
485	15649	16551
486	15679	16516
487	15708	16481
488	15737	16445
489	15767	16410
490	15796	16376
491	15825	16340
492	15853	16303
493	15882	16268
494	15911	16232
495	15940	16197
496	15970	16162
497	15998	16127
498	16027	16092
499	16056	16056
500	16085	16021
501	16114	15986
502	16143	15951
503	16172	15916
504	16201	15880
505	16230	15845
506	16260	15811
507	16288	15775
508	16317	15740
509	16346	15705
510	16375	15670
511	16404	15635
512	16433	15600
513	16462	15565
514	16490	15530
515	16520	15495
516	16549	15461
517	16578	15426
518	16608	15392
519	16637	15357
520	16666	15323
521	16694	15287
522	16723	15252
523	16753	15218
524	16780	15182
525	16809	15147
526	16837	15112
527	16866	15077
528	16895	15043
529	16925	15009
530	16954	14974
531	16984	14941
532	17012	14906
533	17041	14871
534	17070	14836
535	17098	14801
536	17127	14767
537	17156	14732
538	17185	14698
539	17214	14664
540	17243	14630
541	17272	14595
542	17300	14560
543	17329	14526
544	17357	14491
545	17387	14457
546	17416	14423
547	17444	14388
548	17473	14354
549	17502	14319
550	17530	14285
551	17559	14251
552	17589	14218
553	17619	14184
554	17647	14149
555	17676	14116
556	17706	14082
557	17734	14047
558	17763	14014
559	17793	13980
560	17822	13946
561	17851	13912
562	17880	13878
563	17908	13844
564	17937	13810
565	17967	13776
566	17995	13742
567	18024	13708
568	18052	13674
569	18081	13640
570	18109	13606
571	18139	13573
572	18169	13539
573	18198	13506
574	18227	13472
575	18256	13438
576	18284	13404
577	18313	13370
578	18343	13337
579	18371	13303
580	18400	13269
581	18429	13236
582	18458	13202
583	18487	13169
584	18516	13135
585	18544	13101
586	18572	13067
587	18602	13034
588	18631	13001
589	18661	12968
590	18690	12934
591	18719	12900
592	18747	12867
593	18776	12834
594	18806	12801
595	18835	12768
596	18864	12734
597	18894	12701
598	18923	12668
599	18953	12635
600	18983	12603
601	19011	12569
602	19041	12536
603	19070	12502
604	19098	12469
605	19127	12436
606	19155	12402
607	19184	12369
608	19213	12336
609	19243	12303
610	19271	12269
611	19300	12236
612	19330	12203
613	19359	12170
614	19388	12137
615	19418	12104
616	19446	12071
617	19475	12038
618	19504	12005
619	19532	11971
620	19561	11938
621	19591	11905
622	19620	11873
623	19650	11840
624	19679	11807
625	19709	11775
626	19738	11742
627	19766	11709
628	19795	11675
629	19823	11642
630	19853	11609
631	19881	11576
632	19910	11543
633	19941	11511
634	19970	11478
635	19998	11445
636	20027	11412
637	20055	11379
638	20084	11346
639	20112	11313
640	20142	11280
641	20171	11248
642	20200	11215
643	20229	11182
644	20257	11149
645	20286	11116
646	20315	11083
647	20343	11050
648	20372	11018
649	20401	10985
650	20430	10952
651	20459	10920
652	20488	10887
653	20516	10854
654	20545	10821
655	20574	10789
656	20603	10756
657	20632	10723
658	20662	10691
659	20691	10659
660	20719	10626
661	20748	10593
662	20776	10560
663	20805	10527
664	20834	10495
665	20863	10462
666	20891	10430
667	20921	10397
668	20949	10365
669	20977	10332
670	21006	10299
671	21035	10267
672	21066	10235
673	21095	10203
674	21124	10171
675	21153	10138
676	21183	10106
677	21211	10073
678	21240	10041
679	21270	10009
680	21298	9976
681	21327	9944
682	21355	9911
683	21384	9879
684	21413	9847
685	21443	9815
686	21471	9782
687	21500	9750
688	21529	9717
689	21558	9685
690	21587	9653
691	21617	9621
692	21646	9589
693	21675	9557
694	21704	9524
695	21732	9492
696	21762	9460
697	21791	9428
698	21820	9396
699	21853	9365
700	21883	9333
701	21916	9303
702	21949	9272
703	21981	9242
704	22013	9211
705	22045	9180
706	22077	9149
707	22106	9117
708	22136	9085
709	22168	9054
710	22199	9023
711	22230	8992
712	22261	8960
713	22292	8929
714	22324	8898
715	22354	8866
716	22403	8842
717	22443	8814
718	22473	8783
719	22505	8752
720	22536	8720
721	22567	8689
722	22599	8658
723	22632	8627
724	22663	8596
725	22711	8571
726	22745	8541
727	22776	8509
728	22808	8478
729	22838	8447
730	22869	8415
731	22902	8385
732	22933	8353
733	22964	8322
734	22994	8290
735	23025	8259
736	23055	8227
737	23086	8195
738	23115	8163
739	23144	8131
740	23174	8100
741	23206	8069
742	23238	8038
743	23269	8006
744	23321	7982
745	23395	7965
