iter	Passed	Remaining
0	98	9773
1	179	8797
2	275	8908
3	376	9028
4	459	8722
5	516	8086
6	549	7297
7	580	6678
8	617	6247
9	671	6043
10	705	5707
11	737	5406
12	768	5144
13	809	4975
14	861	4879
15	890	4674
16	919	4487
17	955	4354
18	985	4200
19	1014	4058
20	1051	3957
21	1099	3899
22	1131	3789
23	1160	3676
24	1189	3569
25	1219	3471
26	1259	3404
27	1316	3385
28	1366	3344
29	1401	3270
30	1446	3218
31	1483	3153
32	1512	3070
33	1541	2992
34	1571	2918
35	1600	2845
36	1638	2790
37	1680	2741
38	1709	2673
39	1738	2607
40	1767	2543
41	1797	2482
42	1833	2430
43	1874	2386
44	1903	2326
45	1932	2269
46	1961	2212
47	1991	2156
48	2026	2109
49	2069	2069
50	2097	2015
51	2127	1963
52	2156	1912
53	2185	1861
54	2213	1811
55	2253	1770
56	2295	1731
57	2325	1684
58	2355	1636
59	2384	1589
60	2413	1542
61	2442	1496
62	2477	1454
63	2521	1418
64	2549	1373
65	2579	1328
66	2609	1285
67	2639	1241
68	2674	1201
69	2715	1163
70	2744	1121
71	2774	1078
72	2802	1036
73	2831	994
74	2867	955
75	2909	918
76	2938	877
77	2968	837
78	2997	796
79	3026	756
80	3066	719
81	3107	682
82	3137	642
83	3165	603
84	3195	563
85	3224	524
86	3254	486
87	3289	448
88	3335	412
89	3364	373
90	3394	335
91	3423	297
92	3454	260
93	3483	222
94	3514	184
95	3557	148
96	3589	111
97	3618	73
98	3647	36
99	3676	0
