iter	Passed	Remaining
0	41	4155
1	76	3747
2	111	3592
3	142	3423
4	173	3295
5	203	3183
6	234	3120
7	276	3177
8	333	3370
9	371	3343
10	406	3289
11	444	3262
12	490	3281
13	544	3342
14	578	3279
15	617	3244
16	657	3211
17	704	3207
18	761	3244
19	795	3183
20	831	3129
21	877	3112
22	920	3080
23	985	3121
24	1033	3101
25	1082	3081
26	1137	3075
27	1174	3020
28	1211	2964
29	1249	2916
30	1302	2898
31	1341	2851
32	1374	2790
33	1406	2729
34	1440	2676
35	1476	2625
36	1528	2602
37	1559	2544
38	1592	2490
39	1622	2434
40	1668	2400
41	1707	2358
42	1740	2307
43	1772	2256
44	1804	2205
45	1840	2160
46	1892	2133
47	1922	2082
48	1954	2034
49	1985	1985
50	2019	1940
51	2052	1894
52	2093	1856
53	2134	1818
54	2167	1773
55	2198	1727
56	2229	1682
57	2271	1644
58	2319	1611
59	2352	1568
60	2383	1524
61	2417	1481
62	2454	1441
63	2508	1411
64	2540	1367
65	2573	1325
66	2606	1283
67	2645	1245
68	2692	1209
69	2721	1166
70	2749	1123
71	2785	1083
72	2820	1043
73	2853	1002
74	2893	964
75	2925	923
76	2966	886
77	3015	850
78	3108	826
79	3162	790
80	3197	750
81	3231	709
82	3289	673
83	3324	633
84	3358	592
85	3405	554
86	3463	517
87	3513	479
88	3548	438
89	3577	397
90	3607	356
91	3642	316
92	3693	277
93	3722	237
94	3750	197
95	3779	157
96	3810	117
97	3850	78
98	3909	39
99	3960	0
