iter	RMSE
0	3.559431214
1	3.16941749
2	3.03265558
3	2.926734888
4	2.898138102
5	2.861796854
6	2.847709408
7	2.843250859
8	2.835018092
9	2.8271084
10	2.820028353
11	2.816325284
12	2.812940388
13	2.811067068
14	2.808135623
15	2.801399572
16	2.800339154
17	2.799356092
18	2.788833125
19	2.788129443
20	2.784228059
21	2.783160702
22	2.782787496
23	2.779728746
24	2.779123471
25	2.778890155
26	2.777780803
27	2.776973181
28	2.77562364
29	2.7744014
30	2.773261965
31	2.773105986
32	2.772765784
33	2.771893616
34	2.771539985
35	2.771409239
36	2.76851427
37	2.76840527
38	2.768006176
39	2.765570559
40	2.765235187
41	2.765166658
42	2.764948039
43	2.764870228
44	2.764675019
45	2.76301312
46	2.761651529
47	2.761301369
48	2.761077841
49	2.759943722
50	2.759534377
51	2.759117886
52	2.758973586
53	2.758757814
54	2.757687424
55	2.757635726
56	2.757559713
57	2.756877362
58	2.756559409
59	2.756424292
60	2.756261388
61	2.756140619
62	2.756108146
63	2.755913753
64	2.755361684
65	2.754240814
66	2.754166465
67	2.754065046
68	2.7538888
69	2.753837821
70	2.753814674
71	2.753754583
72	2.753722145
73	2.752073201
74	2.752055573
75	2.751582551
76	2.751430386
77	2.751390841
78	2.751142865
79	2.750528918
80	2.750509327
81	2.749531034
82	2.749463341
83	2.749391618
84	2.749241387
85	2.749229284
86	2.749164134
87	2.749134805
88	2.748926565
89	2.748734112
90	2.748689861
91	2.748655438
92	2.748644476
93	2.748386223
94	2.748295126
95	2.748187479
96	2.748148295
97	2.748114851
98	2.748037611
99	2.748014797
