iter	Passed	Remaining
0	61	6135
1	116	5709
2	167	5411
3	216	5195
4	268	5106
5	336	5276
6	414	5512
7	470	5406
8	545	5515
9	611	5502
10	662	5359
11	758	5560
12	814	5452
13	868	5335
14	944	5351
15	1012	5315
16	1070	5226
17	1137	5183
18	1194	5090
19	1227	4908
20	1257	4729
21	1287	4563
22	1319	4416
23	1365	4324
24	1415	4246
25	1471	4188
26	1522	4116
27	1558	4008
28	1606	3933
29	1658	3870
30	1691	3764
31	1724	3664
32	1755	3564
33	1801	3497
34	1852	3439
35	1884	3350
36	1916	3263
37	1948	3179
38	2001	3130
39	2043	3065
40	2077	2989
41	2111	2915
42	2146	2845
43	2188	2785
44	2232	2728
45	2265	2659
46	2297	2590
47	2330	2524
48	2374	2471
49	2418	2418
50	2449	2353
51	2482	2291
52	2514	2230
53	2557	2178
54	2607	2133
55	2640	2074
56	2672	2015
57	2704	1958
58	2747	1909
59	2791	1861
60	2824	1806
61	2859	1752
62	2891	1698
63	2930	1648
64	2977	1603
65	3011	1551
66	3045	1500
67	3081	1450
68	3126	1404
69	3169	1358
70	3202	1308
71	3234	1257
72	3266	1208
73	3299	1159
74	3337	1112
75	3384	1068
76	3416	1020
77	3448	972
78	3482	925
79	3514	878
80	3555	833
81	3599	790
82	3633	744
83	3665	698
84	3697	652
85	3728	606
86	3764	562
87	3811	519
88	3842	474
89	3873	430
90	3904	386
91	3942	342
92	3993	300
93	4026	256
94	4060	213
95	4092	170
96	4128	127
97	4180	85
98	4213	42
99	4247	0
